nombre,equipo,minutos_totales,goles_totales,partidos_jugados
Marc Cardona,UD Las Palmas,121,0,10
Dinko Horkaš,UD Las Palmas,1083,0,13
Juanma Herzog,UD Las Palmas,1315,0,19
Iván Gil,UD Las Palmas,0,0,0
José Campaña,UD Las Palmas,1194,0,25
Benito,UD Las Palmas,489,0,19
Valentín Pezzolesi,UD Las Palmas,5,0,1
Ørjan Nyland,Sevilla FC,2673,0,30
Adrià Pedrosa,Sevilla FC,2305,2,31
Tanguy Nianzou,Sevilla FC,520,2,6
Juanlu Sánchez,Sevilla FC,1750,8,30
José Ángel,Sevilla FC,2955,0,35
Nemanja Gudelj,Sevilla FC,2495,2,31
Lucien Agoumé,Sevilla FC,2123,2,31
Djibril Sow,Sevilla FC,2071,4,30
Lucas Ocampos,Sevilla FC,176,0,2
Isaac Romero,Sevilla FC,2211,8,31
Dodi Lukébakio,Sevilla FC,3161,22,38
Jesús Navas,Sevilla FC,415,2,14
Peque,Sevilla FC,1110,2,25
Kike Salas,Sevilla FC,2235,6,30
Álvaro Fernández,Sevilla FC,747,0,9
Alberto Flores,Sevilla FC,0,0,0
Loïc Badé,Sevilla FC,2765,2,32
Marcão,Sevilla FC,550,0,9
Gonzalo Montiel,Sevilla FC,109,0,4
Pablo Rivera,Sevilla FC,0,0,0
Alberto Collado,Sevilla FC,0,0,0
Chidera Ejuke,Sevilla FC,979,4,25
Stanis Idumbo,Sevilla FC,276,2,12
Sergio Herrera,CA Osasuna,3330,0,37
Herrando,CA Osasuna,1363,2,17
Areso,CA Osasuna,3090,0,36
Abel Bretones,CA Osasuna,2067,4,34
Catena,CA Osasuna,3077,2,35
Lucas Torró,CA Osasuna,2967,6,35
Aimar Oroz,CA Osasuna,2983,10,37
Iker Muñoz,CA Osasuna,602,0,22
Rubén García,CA Osasuna,2433,10,36
Moi Gómez,CA Osasuna,781,2,26
Ante Budimir,CA Osasuna,2968,42,38
Moncayola,CA Osasuna,2113,0,32
Juan Cruz,CA Osasuna,1498,0,25
Bryan Zaragoza,CA Osasuna,1849,2,27
Rubén Peña,CA Osasuna,763,0,24
Raúl,CA Osasuna,727,8,31
Aitor Fernández,CA Osasuna,90,0,1
Dimitrios Stamatakis,CA Osasuna,0,0,0
Nacho Vidal,CA Osasuna,119,0,5
Unai García,CA Osasuna,64,0,2
Pablo Ibáñez,CA Osasuna,1291,2,28
Javi Martínez,CA Osasuna,5,0,1
Iker Benito,CA Osasuna,35,0,2
Juan Soriano,CD Leganés,540,2,6
Arambarri,CD Leganés,178,0,2
Sergio Gónzalez,CD Leganés,3006,6,36
Valentin Rosier,CD Leganés,2592,2,32
Enric Franquesa,CD Leganés,607,2,11
Javi Hernández,CD Leganés,2399,4,31
Seydouba Cissé,CD Leganés,2523,6,34
Darko Brašanac,CD Leganés,1614,2,30
Yvan Neyou,CD Leganés,2321,2,30
Miguel,CD Leganés,1710,2,33
Juan Cruz,CD Leganés,2264,10,34
Dani Raba,CD Leganés,1889,16,29
Julián Chicco,CD Leganés,291,0,12
Roberto López,CD Leganés,389,0,12
Renato Tapia,CD Leganés,2431,2,34
Diego García,CD Leganés,1190,6,28
Marko Dmitrović,CD Leganés,2880,0,32
Álvaro Abajas,CD Leganés,0,0,0
Lalo Aguilar,CD Leganés,0,0,0
Joao Urbáez,CD Leganés,0,0,0
Óscar,CD Leganés,1351,2,29
Álex Gil,CD Leganés,0,0,0
Carlos Guirao,CD Leganés,0,0,0
Giorgi Mamardashvili,Valencia CF,3060,0,34
Cristhian Mosquera,Valencia CF,3320,2,37
Thierry Correia,Valencia CF,771,0,11
Jesús Vázquez,Valencia CF,916,0,17
Yarek Gąsiorowski,Valencia CF,945,0,15
Javier Guerra,Valencia CF,2591,6,36
André Almeida,Valencia CF,1988,0,34
Pepelu,Valencia CF,1754,4,34
Hugo Duro,Valencia CF,2171,24,31
Rafa Mir,Valencia CF,743,2,20
Diego López,Valencia CF,2669,16,37
Dimitri Foulquier,Valencia CF,2296,0,32
Dani Gómez,Valencia CF,528,4,14
Martín Tejón,Valencia CF,44,0,4
David Otorbi,Valencia CF,13,0,1
Hugo Guillamón,Valencia CF,359,0,11
Stole Dimitrievski,Valencia CF,360,0,4
Raúl Jiménez,Valencia CF,0,0,0
Cenk Özkaçar,Valencia CF,0,0,0
César Tárrega,Valencia CF,3027,8,34
Álex Serradell,Valencia CF,0,0,0
Rodrigo Abajas,Valencia CF,66,0,1
Alberto Marí,Valencia CF,6,0,1
Marc-André ter Stegen,FC Barcelona,675,0,8
Pau Cubarsí,FC Barcelona,2621,0,35
Alejandro Balde,FC Barcelona,2291,0,32
Iñigo Martínez,FC Barcelona,2493,0,28
Jules Koundé,FC Barcelona,2606,4,32
Marc Casadó,FC Barcelona,1626,2,23
Marc Bernal,FC Barcelona,244,0,3
Ferran Torres,FC Barcelona,1108,20,27
Robert Lewandowski,FC Barcelona,2683,54,34
Raphinha,FC Barcelona,2844,36,36
Lamine Yamal,FC Barcelona,2863,18,35
Andreas Christensen,FC Barcelona,252,0,5
Gerard Martín,FC Barcelona,1030,2,25
Pedri,FC Barcelona,2898,8,37
Eric García,FC Barcelona,1556,4,29
Pau Víctor,FC Barcelona,301,4,15
Iñaki Peña,FC Barcelona,1395,0,16
Ander Astralaga,FC Barcelona,0,0,0
Álex Valle,FC Barcelona,0,0,0
Héctor Fort,FC Barcelona,577,0,17
Sergi Domínguez,FC Barcelona,173,0,3
Pablo Torre,FC Barcelona,308,6,10
Remiro,Real Sociedad,3240,0,36
Aritz Elustondo,Real Sociedad,1437,0,21
Javi López,Real Sociedad,1937,0,29
Hamari Traoré,Real Sociedad,706,0,11
Jon Pacheco,Real Sociedad,851,0,14
Urko González,Real Sociedad,46,0,1
Beñat Turrientes,Real Sociedad,942,0,21
Brais Méndez,Real Sociedad,1538,6,27
Mikel Oyarzabal,Real Sociedad,2323,18,35
Sheraldo Becker,Real Sociedad,1009,4,22
Takefusa Kubo,Real Sociedad,2377,10,36
Martín Zubimendi,Real Sociedad,2962,4,36
Sergio Gómez,Real Sociedad,2744,4,37
Ander Barrenetxea,Real Sociedad,1263,2,30
Jon Aramburu,Real Sociedad,2463,2,35
Luka Sučić,Real Sociedad,1795,2,29
Unai Marrero,Real Sociedad,180,0,2
Aihen Muñoz,Real Sociedad,1097,0,20
Jon Martín,Real Sociedad,866,0,12
Olasagasti,Real Sociedad,848,2,22
Jon Magunazelaia,Real Sociedad,5,0,1
Pablo Marín,Real Sociedad,1237,2,22
Umar Sadiq,Real Sociedad,224,0,7
Dani Cárdenas,Rayo Vallecano,540,0,6
Andrei Ratiu,Rayo Vallecano,3067,4,35
Abdul Mumin,Rayo Vallecano,2088,4,24
Alfonso Espino,Rayo Vallecano,831,0,16
Florian Lejeune,Rayo Vallecano,3326,4,37
Randy Nteka,Rayo Vallecano,1137,6,24
Unai López,Rayo Vallecano,1764,6,32
Óscar,Rayo Vallecano,1830,0,34
Isi Palazón,Rayo Vallecano,2164,8,35
Jorge De Frutos,Rayo Vallecano,2560,12,36
Adrián Embarba,Rayo Vallecano,1607,2,35
Gumbau,Rayo Vallecano,842,0,22
Sergio Camello,Rayo Vallecano,1142,6,23
Pep Chavarría,Rayo Vallecano,2583,0,34
Pathé Ciss,Rayo Vallecano,2146,8,33
Balliu,Rayo Vallecano,1191,0,25
Morro,Rayo Vallecano,0,0,0
Aridane,Rayo Vallecano,1024,2,14
Marco de las Sías,Rayo Vallecano,0,0,0
Pelayo Fernández,Rayo Vallecano,97,0,2
Óscar Trejo,Rayo Vallecano,490,2,19
Pedro Díaz,Rayo Vallecano,1206,6,26
Etienne Eto'o,Rayo Vallecano,38,0,2
Dominik Greif,RCD Mallorca,2790,0,31
Raíllo,RCD Mallorca,3221,4,36
Johan Mojica,RCD Mallorca,2755,2,36
Pablo Maffeo,RCD Mallorca,2377,0,30
Martin Valjent,RCD Mallorca,2766,6,31
Omar Mascarell,RCD Mallorca,2007,2,32
Sergi Darder,RCD Mallorca,2766,4,38
Samú,RCD Mallorca,2723,0,32
Dani Rodríguez,RCD Mallorca,2175,8,37
Vedat Muriqi,RCD Mallorca,2128,16,29
Takuma Asano,RCD Mallorca,1058,4,21
Antonio Sánchez,RCD Mallorca,1383,0,32
Manu Morlanes,RCD Mallorca,1340,0,23
Cyle Larin,RCD Mallorca,1772,14,32
Copete,RCD Mallorca,1521,0,23
Leo Román,RCD Mallorca,630,0,7
Cuéllar,RCD Mallorca,0,0,0
Mateu Morey,RCD Mallorca,738,0,15
Toni Lato,RCD Mallorca,637,0,14
Siebe Van Der Heyden,RCD Mallorca,96,0,2
Daniel Luna,RCD Mallorca,18,0,2
Abdón,RCD Mallorca,437,4,23
Marc Domènech,RCD Mallorca,298,0,10
Thibaut Courtois,Real Madrid,2700,2,30
Dani Carvajal,Real Madrid,611,2,8
Eder Militão,Real Madrid,939,2,12
Antonio Rüdiger,Real Madrid,2290,0,29
Ferland Mendy,Real Madrid,1011,0,14
Jude Bellingham,Real Madrid,2546,18,31
Federico Valverde,Real Madrid,3036,12,36
Aurélien Tchouaméni,Real Madrid,2692,0,32
Vinícius Junior,Real Madrid,2269,22,30
Kylian Mbappé,Real Madrid,2971,62,34
Rodrygo,Real Madrid,1938,12,30
Luka Modrić,Real Madrid,1818,4,35
Lucas Vázquez,Real Madrid,2192,2,31
Brahim Díaz,Real Madrid,1382,8,31
Arda Güler,Real Madrid,1248,6,28
Andriy Lunin,Real Madrid,630,0,7
Fran,Real Madrid,90,0,1
Jesús Vallejo,Real Madrid,136,0,4
Fran García,Real Madrid,2168,0,29
Jacobo Ramón,Real Madrid,203,2,3
Dani Ceballos,Real Madrid,1219,0,22
Endrick,Real Madrid,347,2,19
Karl Hein,Real Valladolid,2790,0,31
Luis Pérez,Real Valladolid,2557,0,30
Javi Sánchez,Real Valladolid,2043,4,25
Flavien Boyomo,Real Valladolid,270,0,3
Eray Cömert,Real Valladolid,1817,0,25
Lucas Rosa,Real Valladolid,1890,0,21
Kike Pérez,Real Valladolid,1196,4,19
Selim Amallah,Real Valladolid,1389,6,24
Mamadou Sylla,Real Valladolid,1580,10,29
Raúl Moro,Real Valladolid,2344,8,33
Amath Ndiaye,Real Valladolid,368,0,12
Stanko Jurić,Real Valladolid,1769,0,26
Víctor Meseguer,Real Valladolid,407,0,14
Iván Sánchez,Real Valladolid,1392,4,32
David Torres,Real Valladolid,1387,2,18
Chuki,Real Valladolid,728,4,17
Arnau Rafús,Real Valladolid,90,0,1
Koke,Real Valladolid,0,0,0
Raúl Chasco,Real Valladolid,129,0,2
César,Real Valladolid,0,0,0
Stipe Biuk,Real Valladolid,0,0,0
Marcos André,Real Valladolid,1194,2,22
Darwin Machís,Real Valladolid,635,0,17
Joan García,Espanyol Barcelona,3420,0,38
Sergi Gómez,Espanyol Barcelona,659,0,11
Leandro Cabrera,Espanyol Barcelona,2880,8,33
Álvaro Tejero,Espanyol Barcelona,1232,2,27
Carlos Romero,Espanyol Barcelona,2556,4,34
El Hilali,Espanyol Barcelona,3159,0,36
Pol Lozano,Espanyol Barcelona,1961,0,30
José Gragera,Espanyol Barcelona,571,0,10
Javier Puado,Espanyol Barcelona,2989,24,35
Alejo Véliz,Espanyol Barcelona,1119,2,25
Pere Milla,Espanyol Barcelona,454,6,19
Alex Král,Espanyol Barcelona,2710,0,37
Irvin Cardona,Espanyol Barcelona,601,2,16
Jofre Carreras,Espanyol Barcelona,2178,6,37
Antoniu Roca,Espanyol Barcelona,1021,0,25
Aguado,Espanyol Barcelona,435,0,14
Pacheco,Espanyol Barcelona,0,0,0
Ángel Fortuño,Espanyol Barcelona,0,0,0
Fernando Calero,Espanyol Barcelona,704,2,21
Brian Oliván,Espanyol Barcelona,1017,0,17
Salvi,Espanyol Barcelona,0,0,0
Rafel Bauzà,Espanyol Barcelona,181,0,5
Omar Sadik,Espanyol Barcelona,0,0,0
Diego Conde,Villarreal CF,1963,0,22
Raúl Albiol,Villarreal CF,1188,2,15
Eric Bailly,Villarreal CF,672,0,10
Kiko Femenía,Villarreal CF,2230,0,28
Sergi Cardona,Villarreal CF,2953,2,35
Dani Parejo,Villarreal CF,2277,6,36
Santi Comesaña,Villarreal CF,2567,8,35
Gerard Moreno,Villarreal CF,716,6,17
Arnaut Danjuma,Villarreal CF,203,4,3
Álex Baena,Villarreal CF,2607,14,32
Yéremy Pino,Villarreal CF,1948,8,34
Pape Gueye,Villarreal CF,2260,8,34
Ilias Akhomach,Villarreal CF,588,2,11
Nicolas Pépé,Villarreal CF,1496,6,28
Ayoze Pérez,Villarreal CF,1975,38,30
Ramón Terrats,Villarreal CF,122,0,9
Iker Álvarez,Villarreal CF,0,0,0
Willy Kambwala,Villarreal CF,1172,0,19
Pau Navarro,Villarreal CF,913,0,16
Arnau Solà,Villarreal CF,12,0,1
Jan Oblak,Atlético de Madrid,3240,0,36
Azpilicueta,Atlético de Madrid,877,2,14
Marcos Llorente,Atlético de Madrid,2514,4,33
Axel Witsel,Atlético de Madrid,848,0,13
Reinildo,Atlético de Madrid,936,0,19
Robin Le Normand,Atlético de Madrid,2149,2,27
Koke,Atlético de Madrid,1925,4,32
Pablo Barrios,Atlético de Madrid,2420,2,31
Samuel Lino,Atlético de Madrid,1563,6,31
Antoine Griezmann,Atlético de Madrid,2481,16,38
Alexander Sørloth,Atlético de Madrid,1559,40,35
José Giménez,Atlético de Madrid,1993,2,27
Ángel Correa,Atlético de Madrid,782,8,31
Nahuel Molina,Atlético de Madrid,1585,0,30
Rodrigo De Paul,Atlético de Madrid,2109,6,34
Julián Alvarez,Atlético de Madrid,2520,34,37
Horaţiu Moldovan,Atlético de Madrid,0,0,0
Antonio Gomis,Atlético de Madrid,0,0,0
Javi Galán,Atlético de Madrid,1790,0,25
Ilias Kostis,Atlético de Madrid,0,0,0
Arthur Vermeeren,Atlético de Madrid,0,0,0
Rodrigo Riquelme,Atlético de Madrid,507,0,16
Giuliano Simeone,Atlético de Madrid,1941,4,33
Guaita,RC Celta,3060,0,34
Luis Rioja,Valencia CF,2848,10,36
Saúl Ñíguez,Sevilla FC,1557,2,24
Kelechi Iheanacho,Sevilla FC,401,0,8
Albert Lokonga,Sevilla FC,1473,0,22
Thierno Barry,Villarreal CF,2323,22,35
Júnior Reis,Villarreal CF,1457,0,17
Logan Costa,Villarreal CF,2586,4,32
Miquel Salas,RCD Mallorca,39,0,4
Fermín López,FC Barcelona,1271,12,27
Julen Agirrezabala,Athletic Club,1216,0,14
De Marcos,Athletic Club,1559,0,26
Juan Berrocal,Getafe CF,1086,0,19
Álvaro García,Rayo Vallecano,2564,8,36
Augusto Batalla,Rayo Vallecano,2880,0,32
Raúl de Tomás,Rayo Vallecano,20,0,2
Marash Kumbulla,Espanyol Barcelona,2976,8,35
Egoitz Arana,Real Sociedad,0,0,0
Mario Martín,Real Valladolid,1805,0,30
André Ferreira,Real Valladolid,540,0,6
Adrià Altimira,CD Leganés,1635,0,22
Jorge Sáenz,CD Leganés,1704,4,23
Jackson Porozo,CD Leganés,0,0,0
Munir,CD Leganés,857,8,25
Daley Sinkgraven,UD Las Palmas,91,0,2
Manu Sánchez,CD Alavés,2661,4,33
Carlos Martín,CD Alavés,1337,4,25
Abde Rebbach,CD Alavés,384,0,8
Natan,Real Betis,2168,2,29
Manu González,Real Betis,0,0,0
Conor Gallagher,Atlético de Madrid,1635,6,32
Alejandro Iturbe,Atlético de Madrid,0,0,0
Viktor Tsygankov,Girona FC,1921,4,27
Bojan Miovski,Girona FC,875,4,16
Pau López,Girona FC,44,0,1
Dani Olmo,FC Barcelona,1213,20,25
Andrés Cuenca,FC Barcelona,0,0,0
Álvaro Djaló,Athletic Club,656,2,17
Nico Serrano,Athletic Club,111,0,4
Iker Córdoba,Valencia CF,13,0,2
Latasa,Real Valladolid,1405,6,28
Zubeldia,Real Sociedad,2343,0,28
Aitor Fraga,Real Sociedad,0,0,0
Toni Martínez,CD Alavés,999,8,25
Santiago Mouriño,CD Alavés,1846,0,25
Juan Musso,Atlético de Madrid,180,0,2
Clément Lenglet,Atlético de Madrid,1976,4,23
Walid Cheddira,Espanyol Barcelona,626,2,20
José Luis Catalá,Espanyol Barcelona,0,0,0
Yáser Asprilla,Girona FC,1402,6,27
José Arnáiz,CA Osasuna,128,0,15
Álvaro Killane,UD Las Palmas,0,0,0
Fabio,UD Las Palmas,51,0,2
Giovani Lo Celso,Real Betis,1452,16,25
Vítor Roque,Real Betis,1237,8,22
Nobel Mendy,Real Betis,107,0,2
Lucas Alcázar,Real Betis,0,0,0
Cédric Bakambu,Real Betis,699,4,25
Bertuğ Yıldırım,Getafe CF,1087,2,21
Borja Mayoral,Getafe CF,1097,10,24
Djordjije Medenica,Getafe CF,0,0,0
Guillem Trilla,Getafe CF,0,0,0
John Patrick,Getafe CF,44,0,3
Coba da Costa,Getafe CF,1005,2,19
Cenk Özkaçar,Real Valladolid,755,0,11
Unai Núñez,Athletic Club,644,0,9
Naci Ünüvar,Espanyol Barcelona,30,0,2
Robert Navarro,RCD Mallorca,1286,2,23
Sergi Canós,Valencia CF,356,0,17
Enzo Barrenechea,Valencia CF,2206,2,30
Juan Bernat,Villarreal CF,204,0,9
Antonio Espigares,Villarreal CF,0,0,0
Reque,Villarreal CF,9,0,1
Karl Etta Eyong,Villarreal CF,34,2,4
Pau Cabanes,Villarreal CF,152,2,8
Flavien Boyomo,CA Osasuna,2987,4,34
César Fernández,RC Celta,0,0,0
Víctor Puig,UD Las Palmas,0,0,0
Valentín Barco,Sevilla FC,285,0,6
Matías Árbol,Sevilla FC,0,0,0
Arnaut Danjuma,Girona FC,1335,4,25
Gorka Rivera,Getafe CF,19,0,1
Orri Óskarsson,Real Sociedad,939,6,23
Jesús Rodríguez,Real Betis,1119,4,21
Sébastien Haller,CD Leganés,405,0,8
Matija Nastasić,CD Leganés,2111,2,26
Valery,RCD Mallorca,291,4,17
Chiquinho,RCD Mallorca,140,0,7
Denis Suárez,Villarreal CF,603,2,20
Joan Jordán,CD Alavés,1414,10,25
Pedro Ortiz,Sevilla FC,0,0,0
Nayef Aguerd,Real Sociedad,1854,0,22
Álvaro Odriozola,Real Sociedad,41,0,2
Sergio Mestre,Real Madrid,0,0,0
Chema Andrés,Real Madrid,10,0,2
Marcos Alonso,RC Celta,2694,6,31
Franco Cervi,RC Celta,275,0,7
Tadeo Allende,RC Celta,1,0,1
Kenedy,Real Valladolid,6,0,2
Raúl Martínez,Girona FC,0,0,0
Diego Kochen,FC Barcelona,0,0,0
Guille Fernández,FC Barcelona,0,0,0
Fábio Silva,UD Las Palmas,1877,20,24
Dário Essugo,UD Las Palmas,2016,2,27
Ruiz de Galarreta,Athletic Club,1489,0,26
Javier Serrano,Atlético de Madrid,0,0,0
Germán Valera,Valencia CF,142,0,8
Maximiliano Caufriez,Valencia CF,90,0,1
Warren Madrigal,Valencia CF,0,0,0
James Rodríguez,Rayo Vallecano,136,0,6
Sergi Guardiola,Rayo Vallecano,347,0,16
Suso,Sevilla FC,616,0,15
Juma Bah,Real Valladolid,853,0,12
Mario Maroto,Real Valladolid,62,0,2
Adnan Januzaj,UD Las Palmas,590,4,18
Pejiño,UD Las Palmas,15,0,1
Fran Pérez,Valencia CF,552,0,25
David Argüelles,Getafe CF,6,0,1
Abdoulaye Keita,Getafe CF,94,0,3
Ansu Fati,FC Barcelona,232,0,6
Toni Fernández,FC Barcelona,0,0,0
Mateo Flores,Real Betis,150,0,6
David Jiménez,Real Madrid,0,0,0
Áron Yaakobishvili,FC Barcelona,0,0,0
Sebas Wade,RCD Mallorca,0,0,0
Álvaro Rodríguez,Getafe CF,856,4,21
Peio Canales,Athletic Club,254,0,8
Mateo Mejía,Sevilla FC,10,0,1
Manuel Bueno,Sevilla FC,133,2,8
Thomas Lemar,Atlético de Madrid,80,0,5
Eduardo Camavinga,Real Madrid,1096,2,19
Anuar Tuhami,Real Valladolid,1729,4,26
Álvaro Aceves,Real Valladolid,0,0,0
Frenkie de Jong,FC Barcelona,1130,4,26
Alejandro Jay,CD Alavés,0,0,0
Llorenç Serred,Espanyol Barcelona,0,0,0
Min-su Kim,Girona FC,19,0,2
Lucas García,Girona FC,0,0,0
Enric García,Girona FC,0,0,0
Selvi,Girona FC,163,0,4
Javier Llabrés,RCD Mallorca,58,0,1
Allan Nyom,Getafe CF,881,2,18
Gavi,FC Barcelona,1083,2,25
Wojciech Szczęsny,FC Barcelona,1350,0,15
Gayà,Valencia CF,1810,0,23
Jaume,Valencia CF,0,0,0
Rubén Gómez,Villarreal CF,0,0,0
Egoitz Muñoz,CD Alavés,0,0,0
Papa Ba,Girona FC,47,0,1
Gerónimo Spina,Atlético de Madrid,0,0,0
Aitor Gismera,Atlético de Madrid,0,0,0
Kike Barja,CA Osasuna,318,0,14
Aleksandar Andreev,Girona FC,0,0,0
Ferrán,Girona FC,17,0,1
Dawda Camara,Girona FC,0,0,0
Justin Smith,Espanyol Barcelona,211,0,5
Álex Almansa,Espanyol Barcelona,0,0,0
Isra Domínguez,Sevilla FC,17,0,1
Ramón Martínez,Sevilla FC,258,2,5
Fer López,RC Celta,667,4,17
Juan Foyth,Villarreal CF,1518,2,19
Thiago Ojeda,Villarreal CF,7,0,1
Joni Montiel,Rayo Vallecano,0,0,0
Vicent Abril,Valencia CF,0,0,0
Rubén Iranzo,Valencia CF,0,0,0
Raúl Asencio,Real Madrid,1670,0,22
Naim García,CD Leganés,0,0,0
